Date,Sessions
2019-12-21,146
2019-12-22,67
2019-12-23,178
2019-12-24,231
2019-12-25,213
2019-12-26,197
2019-12-27,172
2019-12-28,160
2019-12-29,154
2019-12-30,171
2019-12-31,109
2020-01-01,78
2020-01-02,72
2020-01-03,119
2020-01-04,55
2020-01-05,61
2020-01-06,159
2020-01-07,73
2020-01-08,72
2020-01-09,83
2020-01-10,93
2020-01-11,84
2020-01-12,84
2020-01-13,75
2020-01-14,57
2020-01-15,66
2020-01-16,120
2020-01-17,74
2020-01-18,103
2020-01-19,62
2020-01-20,75
2020-01-21,89
2020-01-22,116
2020-01-23,135
2020-01-24,113
2020-01-25,84
2020-01-26,106
2020-01-27,118
2020-01-28,153
2020-01-29,131
2020-01-30,136
2020-01-31,122
2020-02-01,105
2020-02-02,66
2020-02-03,100
2020-02-04,132
2020-02-05,135
2020-02-06,134
2020-02-07,274
2020-02-08,114
2020-02-09,177
2020-02-10,177
2020-02-11,171
2020-02-12,183
2020-02-13,285
2020-02-14,734
2020-02-15,345
2020-02-16,180
2020-02-17,205
2020-02-18,205
2020-02-19,196
2020-02-20,155
2020-02-21,199
2020-02-22,179
2020-02-23,137
2020-02-24,156
2020-02-25,169
2020-02-26,151
2020-02-27,193
2020-02-28,172
2020-02-29,145
2020-03-01,149
2020-03-02,149
2020-03-03,176
2020-03-04,197
2020-03-05,182
2020-03-06,201
2020-03-07,249
2020-03-08,175
2020-03-09,215
2020-03-10,203
2020-03-11,178
2020-03-12,210
2020-03-13,159
2020-03-14,159
2020-03-15,95
2020-03-16,146
2020-03-17,141
2020-03-18,141
2020-03-19,141
2020-03-20,167
2020-03-21,124
2020-03-22,90
2020-03-23,330
2020-03-24,142
2020-03-25,639
2020-03-26,622
2020-03-27,189
2020-03-28,161
2020-03-29,129
2020-03-30,164
2020-03-31,396
2020-04-01,276
2020-04-02,167
2020-04-03,485
2020-04-04,409
2020-04-05,452
2020-04-06,292
2020-04-07,376
2020-04-08,356
2020-04-09,366
2020-04-10,457
2020-04-11,559
2020-04-12,343
2020-04-13,471
2020-04-14,296
2020-04-15,438
2020-04-16,358
2020-04-17,373
2020-04-18,374
2020-04-19,169
2020-04-20,321
2020-04-21,361
2020-04-22,371
2020-04-23,242
2020-04-24,410
2020-04-25,512
2020-04-26,339
2020-04-27,505
2020-04-28,580
2020-04-29,645
2020-04-30,540
2020-05-01,552
2020-05-02,608
2020-05-03,806
2020-05-04,854
2020-05-05,859
2020-05-06,750
2020-05-07,671
2020-05-08,721
2020-05-09,810
2020-05-10,1091
2020-05-11,724
2020-05-12,693
2020-05-13,601
2020-05-14,570
2020-05-15,555
2020-05-16,492
2020-05-17,497
2020-05-18,275
2020-05-19,517
2020-05-20,528
2020-05-21,553
2020-05-22,476
2020-05-23,250
2020-05-24,212
2020-05-25,445
2020-05-26,231
2020-05-27,464
2020-05-28,364
2020-05-29,535
2020-05-30,419
2020-05-31,520
2020-06-01,545
2020-06-02,318
2020-06-03,404
2020-06-04,504
2020-06-05,358
2020-06-06,497
2020-06-07,424
2020-06-08,275
2020-06-09,528
2020-06-10,529
2020-06-11,533
2020-06-12,481
2020-06-13,515
2020-06-14,418
2020-06-15,444
2020-06-16,371
2020-06-17,551
2020-06-18,536
2020-06-19,523
2020-06-20,636
2020-06-21,817
2020-06-22,480
2020-06-23,572
2020-06-24,487
2020-06-25,509
2020-06-26,498
2020-06-27,525
2020-06-28,415
2020-06-29,553
2020-06-30,440
2020-07-01,547
2020-07-02,474
2020-07-03,562
2020-07-04,498
2020-07-05,547
2020-07-06,555
2020-07-07,491
2020-07-08,407
2020-07-09,479
2020-07-10,558
2020-07-11,493
2020-07-12,477
2020-07-13,532
2020-07-14,519
2020-07-15,504
2020-07-16,416
2020-07-17,315
2020-07-18,506
2020-07-19,497
2020-07-20,565
2020-07-21,484
2020-07-22,533
2020-07-23,531
2020-07-24,442
2020-07-25,419
2020-07-26,288
2020-07-27,292
2020-07-28,343
2020-07-29,355
2020-07-30,412
2020-07-31,417
2020-08-01,669
2020-08-02,836
2020-08-03,1078
2020-08-04,445
2020-08-05,339
2020-08-06,314
2020-08-07,422
2020-08-08,376
2020-08-09,411
2020-08-10,410
2020-08-11,265
2020-08-12,415
2020-08-13,492
2020-08-14,483
2020-08-15,478
2020-08-16,327
2020-08-17,476
2020-08-18,617
2020-08-19,612
2020-08-20,631
2020-08-21,565
2020-08-22,631
2020-08-23,645
2020-08-24,493
2020-08-25,504
2020-08-26,546
2020-08-27,460
2020-08-28,493
2020-08-29,495
2020-08-30,488
2020-08-31,514
2020-09-01,526
2020-09-02,525
2020-09-03,551
2020-09-04,451
2020-09-05,398
2020-09-06,467
2020-09-07,596
2020-09-08,559
2020-09-09,557
2020-09-10,562
2020-09-11,492
2020-09-12,499
2020-09-13,532
2020-09-14,513
2020-09-15,507
2020-09-16,469
2020-09-17,516
2020-09-18,488
2020-09-19,549
2020-09-20,512
2020-09-21,505
2020-09-22,561
2020-09-23,587
2020-09-24,618
2020-09-25,482
2020-09-26,472
2020-09-27,486
2020-09-28,489
2020-09-29,390
2020-09-30,322
2020-10-01,324
2020-10-02,358
2020-10-03,409
2020-10-04,321
2020-10-05,387
2020-10-06,326
2020-10-07,347
2020-10-08,331
2020-10-09,381
2020-10-10,466
2020-10-11,337
2020-10-12,467
2020-10-13,538
2020-10-14,539
2020-10-15,516
2020-10-16,369
2020-10-17,535
2020-10-18,389
2020-10-19,553
2020-10-20,383
2020-10-21,444
2020-10-22,501
2020-10-23,433
2020-10-24,441
2020-10-25,386
2020-10-26,455
2020-10-27,298
2020-10-28,485
2020-10-29,457
2020-10-30,452
2020-10-31,461
2020-11-01,463
2020-11-02,455
2020-11-03,612
2020-11-04,456
2020-11-05,412
2020-11-06,532
2020-11-07,466
2020-11-08,400
2020-11-09,498
2020-11-10,602
2020-11-11,523
2020-11-12,555
2020-11-13,533
2020-11-14,503
2020-11-15,427
2020-11-16,447
2020-11-17,396
2020-11-18,344
2020-11-19,449
2020-11-20,356
2020-11-21,306
2020-11-22,321
2020-11-23,339
2020-11-24,336
2020-11-25,336
2020-11-26,327
2020-11-27,324
2020-11-28,256
2020-11-29,281
2020-11-30,378
2020-12-01,368
2020-12-02,357
2020-12-03,401
2020-12-04,437
2020-12-05,423
2020-12-06,430
2020-12-07,401
2020-12-08,417
2020-12-09,424
2020-12-10,483
2020-12-11,308
2020-12-12,472
2020-12-13,432
2020-12-14,346
2020-12-15,502
2020-12-16,494
2020-12-17,502
2020-12-18,444
2020-12-19,459
2020-12-20,472
2020-12-21,515
2020-12-22,494
2020-12-23,635
2020-12-24,664
2020-12-25,416
2020-12-26,401
2020-12-27,230
2020-12-28,327
2020-12-29,476
2020-12-30,573
2020-12-31,569
2021-01-01,441
2021-01-02,495
2021-01-03,323
2021-01-04,524
2021-01-05,499
2021-01-06,409
2021-01-07,490
2021-01-08,419
2021-01-09,417
2021-01-10,424
2021-01-11,453
2021-01-12,454
2021-01-13,480
2021-01-14,416
2021-01-15,339
2021-01-16,361
2021-01-17,426
2021-01-18,325
2021-01-19,477
2021-01-20,395
2021-01-21,382
2021-01-22,440
2021-01-23,477
2021-01-24,395
2021-01-25,443
2021-01-26,427
2021-01-27,434
2021-01-28,425
2021-01-29,399
2021-01-30,390
2021-01-31,356
2021-02-01,438
2021-02-02,514
2021-02-03,513
2021-02-04,443
2021-02-05,494
2021-02-06,491
2021-02-07,507
2021-02-08,614
2021-02-09,740
2021-02-10,555
2021-02-11,587
2021-02-12,552
2021-02-13,764
2021-02-14,1222
2021-02-15,649
2021-02-16,505
2021-02-17,493
2021-02-18,446
2021-02-19,394
2021-02-20,399
2021-02-21,445
2021-02-22,484
2021-02-23,493
2021-02-24,549
2021-02-25,562
2021-02-26,474
2021-02-27,537
2021-02-28,435
2021-03-01,502
