,id,user,movie,rating
0,0,1,31,2.5
1,1,1,1029,3.0
2,2,1,1061,3.0
3,3,1,1129,2.0
4,4,1,1172,4.0
5,5,1,1263,2.0
6,6,1,1287,2.0
7,7,1,1293,2.0
8,8,1,1339,3.5
9,9,1,1343,2.0
10,10,1,1371,2.5
11,11,1,1405,1.0
12,12,1,1953,4.0
13,13,1,2105,4.0
14,14,1,2150,3.0
15,15,1,2193,2.0
16,16,1,2294,2.0
17,17,1,2455,2.5
18,18,1,2968,1.0
19,19,1,3671,3.0
20,20,2,10,4.0
21,21,2,17,5.0
22,22,2,39,5.0
23,23,2,47,4.0
24,24,2,50,4.0
25,25,2,52,3.0
26,26,2,62,3.0
27,27,2,110,4.0
28,28,2,144,3.0
29,29,2,150,5.0
30,30,2,153,4.0
31,31,2,161,3.0
32,32,2,165,3.0
33,33,2,168,3.0
34,34,2,185,3.0
35,35,2,186,3.0
36,36,2,208,3.0
37,37,2,222,5.0
38,38,2,223,1.0
39,39,2,225,3.0
40,40,2,235,3.0
41,41,2,248,3.0
42,42,2,253,4.0
43,43,2,261,4.0
44,44,2,265,5.0
45,45,2,266,5.0
46,46,2,272,3.0
47,47,2,273,4.0
48,48,2,292,3.0
49,49,2,296,4.0
50,50,2,300,3.0
51,51,2,314,4.0
52,52,2,317,2.0
53,53,2,319,1.0
54,54,2,339,3.0
55,55,2,349,4.0
56,56,2,350,4.0
57,57,2,356,3.0
58,58,2,357,3.0
59,59,2,364,3.0
60,60,2,367,3.0
61,61,2,370,2.0
62,62,2,371,3.0
63,63,2,372,3.0
64,64,2,377,3.0
65,65,2,382,3.0
66,66,2,405,2.0
67,67,2,410,3.0
68,68,2,454,4.0
69,69,2,457,3.0
70,70,2,468,4.0
71,71,2,474,2.0
72,72,2,480,4.0
73,73,2,485,3.0
74,74,2,497,3.0
75,75,2,500,4.0
76,76,2,508,4.0
77,77,2,509,4.0
78,78,2,515,4.0
79,79,2,527,4.0
80,80,2,537,4.0
81,81,2,539,3.0
82,82,2,550,3.0
83,83,2,551,5.0
84,84,2,552,3.0
85,85,2,585,5.0
86,86,2,586,3.0
87,87,2,587,3.0
88,88,2,588,3.0
89,89,2,589,5.0
90,90,2,590,5.0
91,91,2,592,5.0
92,92,2,593,3.0
93,93,2,616,3.0
94,94,2,661,4.0
95,95,2,720,4.0
96,96,3,60,3.0
97,97,3,110,4.0
98,98,3,247,3.5
99,99,3,267,3.0
100,100,3,296,4.5
101,101,3,318,5.0
102,102,3,355,2.5
103,103,3,356,5.0
104,104,3,377,2.5
105,105,3,527,3.0
106,106,3,588,3.0
107,107,3,592,3.0
108,108,3,593,3.0
109,109,3,595,2.0
110,110,3,736,3.5
111,111,3,778,4.0
112,112,3,866,3.0
113,113,3,1197,5.0
114,114,3,1210,3.0
115,115,3,1235,4.0
116,116,3,1271,3.0
117,117,3,1378,4.0
118,118,3,1580,3.5
119,119,3,1721,4.5
120,120,3,1884,4.0
121,121,3,2028,4.0
122,122,3,2318,4.0
123,123,3,2513,3.0
124,124,3,2694,3.0
125,125,3,2702,3.5
126,126,3,2716,3.0
127,127,3,2762,3.5
128,128,3,2841,4.0
129,129,3,2858,4.0
130,130,3,2959,5.0
131,131,3,3243,3.0
132,132,3,3510,4.0
133,133,3,3949,5.0
134,134,3,5349,3.0
135,135,3,5669,3.5
136,136,3,6377,3.0
137,137,3,7153,2.5
138,138,3,7361,3.0
139,139,3,8622,3.5
140,140,3,8636,3.0
141,141,3,27369,3.5
142,142,3,44191,3.5
143,143,3,48783,4.5
144,144,3,50068,4.5
145,145,3,58559,3.0
146,146,3,84236,4.0
147,147,4,10,4.0
148,148,4,34,5.0
149,149,4,112,5.0
150,150,4,141,5.0
151,151,4,153,4.0
152,152,4,173,3.0
153,153,4,185,3.0
154,154,4,260,5.0
155,155,4,289,4.0
156,156,4,296,5.0
157,157,4,329,3.0
158,158,4,349,5.0
159,159,4,356,5.0
160,160,4,357,5.0
161,161,4,364,5.0
162,162,4,367,4.0
163,163,4,380,3.0
164,164,4,410,3.0
165,165,4,431,3.0
166,166,4,434,4.0
167,167,4,435,1.0
168,168,4,440,4.0
169,169,4,442,4.0
170,170,4,464,4.0
171,171,4,480,5.0
172,172,4,541,5.0
173,173,4,588,5.0
174,174,4,589,5.0
175,175,4,590,3.0
176,176,4,594,5.0
177,177,4,596,5.0
178,178,4,610,4.0
179,179,4,616,5.0
180,180,4,858,5.0
181,181,4,903,5.0
182,182,4,910,4.0
183,183,4,913,5.0
184,184,4,919,5.0
185,185,4,1011,4.0
186,186,4,1016,4.0
187,187,4,1022,5.0
188,188,4,1028,5.0
189,189,4,1030,5.0
